[cache] Enabled caching for measurement parquet reads
seq,date,time_hms,datetime_local,proc,summary,has_light,laser_voltage_v,wavelength_nm,vds_v,vg_fixed_v,vg_start_v,vg_end_v,vg_step_v,laser_period_s,parquet_path,source_file,chip_number,chip_group,chip_name,run_id,rows,file_idx,date_local,day_folder,start_time,start_dt,ts,date_origin,calibration_parquet_path,calibration_time_delta_hours,irradiated_power_w,cnp_voltage,delta_current,cnp_voltage_right,delta_current_right
1,2025-09-08,15:26:20,2025-09-08 12:26:20,IVg,🌙 IVg Alisson67 VDS=0.1 V VG=-5.0→5.0 (step 0.05) VL=0.0 V λ=455.0 nm #1,false,0.0,455.0,0.1,,-5.0,5.0,0.05,,data/02_stage/raw_measurements/proc=IVg/date=2025-09-08/run_id=1a7e1d90dcf0870a/part-000.parquet,data/01_raw/Alisson_08_sept/IVg2025-09-08_1.csv,67,Alisson,Alisson67,1a7e1d90dcf0870a,601,1,2025-09-08,Alisson_08_sept,1757345180.0971758,2025-09-08T15:26:20.097176+0000,2025-11-01 01:04:55.728691+00:00,meta,,,,0.04999999999999982,,0.04999999999999982,
2,2025-10-14,18:03:53,2025-10-14 15:03:53,IVg,🌙 IVg Alisson67 VDS=0.1 V VG=-5.0→5.0 (step 0.05) VL=0.0 V λ=455.0 nm #6,false,0.0,455.0,0.1,,-5.0,5.0,0.05,,data/02_stage/raw_measurements/proc=IVg/date=2025-10-14/run_id=87170814893c1435/part-000.parquet,data/01_raw/2025-10-14/IVg2025-10-14_6.csv,67,Alisson,Alisson67,87170814893c1435,601,6,2025-10-14,2025-10-14,1760465033.4427469,2025-10-14T18:03:53.442747+0000,2025-11-01 01:04:55.133039+00:00,meta,,,,-0.07499999999999973,,-0.07499999999999973,
3,2025-10-14,18:12:05,2025-10-14 15:12:05,IVg,🌙 IVg Alisson67 VDS=0.1 V VG=-5.0→5.0 (step 0.05) VL=0.0 V λ=455.0 nm #7,false,0.0,455.0,0.1,,-5.0,5.0,0.05,,data/02_stage/raw_measurements/proc=IVg/date=2025-10-14/run_id=93372ea6202875d7/part-000.parquet,data/01_raw/2025-10-14/IVg2025-10-14_7.csv,67,Alisson,Alisson67,93372ea6202875d7,601,7,2025-10-14,2025-10-14,1760465525.702543,2025-10-14T18:12:05.702543+0000,2025-11-01 01:04:55.133379+00:00,meta,,,,-0.07499999999999973,,-0.07499999999999973,
4,2025-10-14,18:13:12,2025-10-14 15:13:12,It,💡 It Alisson67 VDS=0.1 V VG=-0.35 V VL=1.15 V λ=455.0 nm #10,true,1.15,455.0,0.1,-0.35,,,,120.0,data/02_stage/raw_measurements/proc=It/date=2025-10-14/run_id=4fd82a2145a7ce6a/part-000.parquet,data/01_raw/2025-10-14/It2025-10-14_10.csv,67,Alisson,Alisson67,4fd82a2145a7ce6a,2140,10,2025-10-14,2025-10-14,1760465592.084506,2025-10-14T18:13:12.084506+0000,2025-11-01 01:04:55.137210+00:00,meta,data/02_stage/raw_measurements/proc=LaserCalibration/date=2025-10-14/run_id=ca0d61c769719104/part-000.parquet,0.0487255525,6.017370194999999e-6,,-1.9376999999999933e-7,,-1.9376999999999933e-7
5,2025-10-14,18:16:12,2025-10-14 15:16:12,It,💡 It Alisson67 VDS=0.1 V VG=-0.35 V VL=2.19 V λ=455.0 nm #11,true,2.19,455.0,0.1,-0.35,,,,120.0,data/02_stage/raw_measurements/proc=It/date=2025-10-14/run_id=ee662cbe7c2bef88/part-000.parquet,data/01_raw/2025-10-14/It2025-10-14_11.csv,67,Alisson,Alisson67,ee662cbe7c2bef88,2141,11,2025-10-14,2025-10-14,1760465772.4614298,2025-10-14T18:16:12.461430+0000,2025-11-01 01:04:55.136855+00:00,meta,data/02_stage/raw_measurements/proc=LaserCalibration/date=2025-10-14/run_id=ca0d61c769719104/part-000.parquet,0.0988302536111111,0.000012008402639999998,,-2.2372000000000063e-7,,-2.2372000000000063e-7
6,2025-10-14,18:19:12,2025-10-14 15:19:12,It,💡 It Alisson67 VDS=0.1 V VG=-0.35 V VL=3.28 V λ=455.0 nm #12,true,3.28,455.0,0.1,-0.35,,,,120.0,data/02_stage/raw_measurements/proc=It/date=2025-10-14/run_id=9eb92d2c79d953bd/part-000.parquet,data/01_raw/2025-10-14/It2025-10-14_12.csv,67,Alisson,Alisson67,9eb92d2c79d953bd,2139,12,2025-10-14,2025-10-14,1760465952.63462,2025-10-14T18:19:12.634620+0000,2025-11-01 01:04:55.138056+00:00,meta,data/02_stage/raw_measurements/proc=LaserCalibration/date=2025-10-14/run_id=ca0d61c769719104/part-000.parquet,0.14887836194444443,0.000018007188549999994,,-2.1771000000000033e-7,,-2.1771000000000033e-7
7,2025-10-14,18:22:12,2025-10-14 15:22:12,It,💡 It Alisson67 VDS=0.1 V VG=-0.35 V VL=4.41 V λ=455.0 nm #13,true,4.41,455.0,0.1,-0.35,,,,120.0,data/02_stage/raw_measurements/proc=It/date=2025-10-14/run_id=774dbb36c17201ee/part-000.parquet,data/01_raw/2025-10-14/It2025-10-14_13.csv,67,Alisson,Alisson67,774dbb36c17201ee,2141,13,2025-10-14,2025-10-14,1760466132.804688,2025-10-14T18:22:12.804688+0000,2025-11-01 01:04:55.137184+00:00,meta,data/02_stage/raw_measurements/proc=LaserCalibration/date=2025-10-14/run_id=ca0d61c769719104/part-000.parquet,0.19892560305555554,0.000023994480239999996,,-2.2761e-7,,-2.2761e-7
8,2025-10-14,19:08:35,2025-10-14 16:08:35,IVg,🌙 IVg Alisson67 VDS=0.1 V VG=-5.0→5.0 (step 0.05) VL=0.0 V λ=455.0 nm #8,false,0.0,455.0,0.1,,-5.0,5.0,0.05,,data/02_stage/raw_measurements/proc=IVg/date=2025-10-14/run_id=b1f99d43425e70f0/part-000.parquet,data/01_raw/2025-10-14/IVg2025-10-14_8.csv,67,Alisson,Alisson67,b1f99d43425e70f0,601,8,2025-10-14,2025-10-14,1760468915.326205,2025-10-14T19:08:35.326205+0000,2025-11-01 01:04:55.134102+00:00,meta,,,,-0.09999999999999964,,-0.09999999999999964,
9,2025-10-14,19:10:44,2025-10-14 16:10:44,It,💡 It Alisson67 VDS=0.1 V VG=0.2 V VL=1.15 V λ=455.0 nm #14,true,1.15,455.0,0.1,0.2,,,,120.0,data/02_stage/raw_measurements/proc=It/date=2025-10-14/run_id=06d728672dec9a1a/part-000.parquet,data/01_raw/2025-10-14/It2025-10-14_14.csv,67,Alisson,Alisson67,06d728672dec9a1a,2140,14,2025-10-14,2025-10-14,1760469044.161089,2025-10-14T19:10:44.161089+0000,2025-11-01 01:04:55.160366+00:00,meta,data/02_stage/raw_measurements/proc=LaserCalibration/date=2025-10-14/run_id=ca0d61c769719104/part-000.parquet,1.0076357144444446,6.017370194999999e-6,,3.511999999999874e-8,,3.511999999999874e-8
10,2025-10-14,19:13:44,2025-10-14 16:13:44,It,💡 It Alisson67 VDS=0.1 V VG=0.2 V VL=2.29 V λ=455.0 nm #15,true,2.29,455.0,0.1,0.2,,,,120.0,data/02_stage/raw_measurements/proc=It/date=2025-10-14/run_id=faf1dc12ee0ac01a/part-000.parquet,data/01_raw/2025-10-14/It2025-10-14_15.csv,67,Alisson,Alisson67,faf1dc12ee0ac01a,2140,15,2025-10-14,2025-10-14,1760469224.372124,2025-10-14T19:13:44.372124+0000,2025-11-01 01:04:55.143800+00:00,meta,data/02_stage/raw_measurements/proc=LaserCalibration/date=2025-10-14/run_id=ca0d61c769719104/part-000.parquet,1.0576943352777777,0.000012569777819999999,,3.0599999999999334e-8,,3.0599999999999334e-8
11,2025-10-14,19:16:44,2025-10-14 16:16:44,It,💡 It Alisson67 VDS=0.1 V VG=0.2 V VL=3.28 V λ=455.0 nm #16,true,3.28,455.0,0.1,0.2,,,,120.0,data/02_stage/raw_measurements/proc=It/date=2025-10-14/run_id=c74ee68c84d2a8c2/part-000.parquet,data/01_raw/2025-10-14/It2025-10-14_16.csv,67,Alisson,Alisson67,c74ee68c84d2a8c2,2141,16,2025-10-14,2025-10-14,1760469404.526949,2025-10-14T19:16:44.526949+0000,2025-11-01 01:04:55.141725+00:00,meta,data/02_stage/raw_measurements/proc=LaserCalibration/date=2025-10-14/run_id=ca0d61c769719104/part-000.parquet,1.1077373422222223,0.000018007188549999994,,5.728999999999958e-8,,5.728999999999958e-8
12,2025-10-14,19:19:44,2025-10-14 16:19:44,It,💡 It Alisson67 VDS=0.1 V VG=0.2 V VL=4.41 V λ=455.0 nm #17,true,4.41,455.0,0.1,0.2,,,,120.0,data/02_stage/raw_measurements/proc=It/date=2025-10-14/run_id=e896e01c50667dab/part-000.parquet,data/01_raw/2025-10-14/It2025-10-14_17.csv,67,Alisson,Alisson67,e896e01c50667dab,2142,17,2025-10-14,2025-10-14,1760469584.702662,2025-10-14T19:19:44.702662+0000,2025-11-01 01:04:55.143251+00:00,meta,data/02_stage/raw_measurements/proc=LaserCalibration/date=2025-10-14/run_id=ca0d61c769719104/part-000.parquet,1.1577861513888887,0.000023994480239999996,,6.781999999999929e-8,,6.781999999999929e-8
13,2025-10-14,19:23:51,2025-10-14 16:23:51,IVg,🌙 IVg Alisson67 VDS=0.1 V VG=-5.0→5.0 (step 0.05) VL=0.0 V λ=455.0 nm #9,false,0.0,455.0,0.1,,-5.0,5.0,0.05,,data/02_stage/raw_measurements/proc=IVg/date=2025-10-14/run_id=777a7b698bec8ac8/part-000.parquet,data/01_raw/2025-10-14/IVg2025-10-14_9.csv,67,Alisson,Alisson67,777a7b698bec8ac8,601,9,2025-10-14,2025-10-14,1760469831.174126,2025-10-14T19:23:51.174126+0000,2025-11-01 01:04:55.134521+00:00,meta,,,,-0.07499999999999973,,-0.07499999999999973,
14,2025-10-14,19:37:01,2025-10-14 16:37:01,IVg,🌙 IVg Alisson67 VDS=0.1 V VG=-5.0→5.0 (step 0.05) VL=0.0 V λ=455.0 nm #10,false,0.0,455.0,0.1,,-5.0,5.0,0.05,,data/02_stage/raw_measurements/proc=IVg/date=2025-10-14/run_id=23d5762bc8b073f9/part-000.parquet,data/01_raw/2025-10-14/IVg2025-10-14_10.csv,67,Alisson,Alisson67,23d5762bc8b073f9,601,10,2025-10-14,2025-10-14,1760470621.717145,2025-10-14T19:37:01.717145+0000,2025-11-01 01:04:55.125614+00:00,meta,,,,-0.09999999999999964,,-0.09999999999999964,
